27-ZnS-M_A-Ba-POSCAR6.cif,-0.811160368
27-ZnS-M_A-Ba-POSCAR5.cif,-0.811055059
27-ZnS-M_A-Ba-POSCAR4.cif,-0.810740525
27-ZnS-M_A-Ba-POSCAR3.cif,-0.809964915
27-ZnS-M_A-Ba-POSCAR2.cif,-0.80613454
bulk_Cd_0Zn_108S_108Se_0Te_0.cif,-0.805732203
27-ZnS-M_A-Ba-POSCAR1.cif,-0.800131222
28-ZnS-M_A-Cd-POSCAR4.cif,-0.796849293
28-ZnS-M_A-Cd-POSCAR3.cif,-0.796706135
28-ZnS-M_A-Cd-POSCAR2.cif,-0.796302501
28-ZnS-M_A-Cd-POSCAR1.cif,-0.795068011
bulk_Zn_Se0.125_S0.875-SQS_POSCAR_6.cif,-0.789862341
bulk_Zn_Se0.125_S0.875-SQS_POSCAR_5.cif,-0.789587536
bulk_Zn_Se0.125_S0.875-13_POSCAR_5.cif,-0.789455751
bulk_Zn_Se0.125_S0.875-16_POSCAR_5.cif,-0.789399024
bulk_Zn_Se0.125_S0.875-5_POSCAR_6.cif,-0.789360107
bulk_Zn_Se0.125_S0.875-13_POSCAR_4.cif,-0.789351746
bulk_Zn_Se0.125_S0.875-6_POSCAR_6.cif,-0.78931738
bulk_Zn_Se0.125_S0.875-19_POSCAR_5.cif,-0.789312472
bulk_Zn_Se0.125_S0.875-5_POSCAR_5.cif,-0.789309146
bulk_Zn_Se0.125_S0.875-7_POSCAR_6.cif,-0.789288888
bulk_Zn_Se0.125_S0.875-9_POSCAR_6.cif,-0.789265807
bulk_Zn_Se0.125_S0.875-16_POSCAR_4.cif,-0.789244368
bulk_Zn_Se0.125_S0.875-6_POSCAR_5.cif,-0.789244085
bulk_Zn_Se0.125_S0.875-7_POSCAR_5.cif,-0.789226755
bulk_Zn_Se0.125_S0.875-9_POSCAR_5.cif,-0.789200301
bulk_Zn_Se0.125_S0.875-10_POSCAR_6.cif,-0.789192208
bulk_Zn_Se0.125_S0.875-17_POSCAR_6.cif,-0.789191354
bulk_Zn_Se0.125_S0.875-19_POSCAR_4.cif,-0.789116522
bulk_Zn_Se0.125_S0.875-5_POSCAR_4.cif,-0.78911534
bulk_Zn_Se0.125_S0.875-6_POSCAR_4.cif,-0.789094094
bulk_Zn_Se0.125_S0.875-17_POSCAR_5.cif,-0.789065877
bulk_Zn_Se0.125_S0.875-10_POSCAR_5.cif,-0.78905798
bulk_Zn_Se0.125_S0.875-15_POSCAR_6.cif,-0.789047768
bulk_Zn_Se0.125_S0.875-18_POSCAR_5.cif,-0.789045293
bulk_Zn_Se0.125_S0.875-12_POSCAR_5.cif,-0.789033238
bulk_Zn_Se0.125_S0.875-13_POSCAR_3.cif,-0.789031262
bulk_Zn_Se0.125_S0.875-9_POSCAR_4.cif,-0.789007583
bulk_Zn_Se0.125_S0.875-11_POSCAR_6.cif,-0.78900223
